Scheme	Batch ID	TP name	AA name	Job role	Assessment date	Candidate count	Attended	Passed 	Failed	Not appeared	Result approved on
CSR-RPL (HSIL)	410040	Dhanush	VET	Plumber General	27.3.2019	50	34	34	0	16	9.12.2019
CSR-RPL (HSIL)	410042	Dhanush	VET	Plumber General	28.3.2019	58	37	37	0	21	9.12.2019
CSR-RPL (HSIL)	431299	Dhanush	VET	Plumber General	27.3.2019	52	40	40	0	12	9.12.2019
NSFDC	16735	e-Biz	VET	Plumber General	5.6.2019	30	30	29	1	0	24.12.2019
NSFDC	22139	e-Biz	VET	Plumber General	18.6.2019	45	43	39	4	2	24.12.2019
NSFDC	22158	e-Biz	V.Saas	Plumber General	17.6.2019	45	40	34	6	5	24.12.2019
NSFDC	22117	e-Biz	CoCubes	Plumber General	17.6.2019	45	41	39	2	4	31.12.2019
DDUGKY	429013	Clear Maze	Khwaspuria	Plumber General	10.4.2019	22	22	22	0	0	1.1.2020
CSR-RPL (Watertec)	7159	Labournet	SM	Plumber General	22.7.2019	33	16	0	16	17	4.1.2020
SDIS-DDUGKY	24941	KLS Pvt Ltd	VET	Plumber General-2	14.12.2019	26	20	19	1	6	14.1.2020
APSSDC	14516	NAC	Khwaspuria	Plumber General	25.10.19	24	24	24	0	0	18.1.2020
CSR-STT	18309	Quivan	VET	Plumber General	4.11.2019	21	20	16	4	1	21.1.2020
CSR-STT	17164	SDI-Vskpm	VET	Plumber General	22.11.2019	30	18	18	0	12	22.1.2020
DDUGKY	29086	NAC	V.Saas	Plumber General	6.1.2020	10	9	9	0	1	23.1.2020
DDUGKY	22607	NAC	V.Saas	Plumber General	6.1.2020	20	13	13	0	7	23.1.2020
PBSSD	29620	JIS	V.Saas	Plumber General	5.12.2019	35	33	32	1	2	23.1.2020
PBSSD	29621	JIS	V.Saas	Plumber General	5.12.2019	30	30	28	2	0	23.1.2020
DDUGKY	38387	NAC	CoCubes	Plumber General	16.1.2020	20	20	12	8	0	28.1.2020
SDIS-OSDA	8479	ASMACS	CoCubes	Plumber General	1.10.2019	24	23	17	6	1	28.1.2020
JSDM	26376	Data Pro	Mettl	Plumber General	9.1.2020	30	30	30	0	0	28.1.2020
PBSSD	29163	Saltlake	VET	Plumber General	6.12.2019	30	30	26	4	0	30.1.2020
Saudi Arabia Skill Harmission Project	52403	Soundlines HR	VET	Plumber General-2	28.12.2019	18	18	16	2	0	11.2.2020
NSFDC	41041	Arambagh	V.Saas/Mettl	Plumber General	30.11.2019	31	27	27	0	4	12.2.2020
NSFDC	21212	e-Biz	Mettl	Plumber General	29.5.2019	30	29	28	1	1	12.2.2020
NSFDC	21497	e-Biz	Mettl	Plumber General	29.5.2019	30	29	25	4	1	12.2.2020
Saudi Arabia Skill Harmission Project	52402	Soundlines HR	VET	Plumber General-2	22.11.2019	27	27	17	10	0	13.2.2020
CSR-STT	22822	Don Bosco	Khwaspuria	Plumber General Assisstant	5.12.2019	18	17	16	1	1	17.2.2020
SDIS-DDUGKY	21407	KLS Pvt Ltd	Mettl	Plumber General-2	9.12.2019	30	29	12	17	1	19.2.2020
NSFDC	23060	e-Biz	CoCubes/V.saas	Plumber General	27.6.2019	30	29	29	0	1	20.2.2020
JSDM	26377	Data Pro	CoCubes	Plumber General	10.1.2020	30	19	13	6	11	20.2.2020
PBSSD	45286	Saltlake	Khwaspuria	Plumber General	1.5.2020	45	45	45	0	0	3.3.2020
CSR-STT (Jail)	74221	SDI-Vskpm	V.Saas	Plumber General	18.2.2020	19	19	18	1	0	3.3.2020
ASDM-PLSTP	30253	Tinsukhia	V.Saas	Plumber General	7.2.2020	30	29	28	1	1	28.5.2020
ASDM-PLSTP	30254	Tinsukhia	V.Saas	Plumber General	8.2.2020	30	28	27	1	2	28.5.2020
CSR-STT	428197	SDI-Vskpm	Mettl	Plumber General	29.7.2019	30	17	17	0	13	8.7.2020
CSR-STT	5313	SDI-Vskpm	Mettl	Plumber General	12.7.2019	17	15	8	7	2	8.7.2020
DDUGKY	73289	NAC	VET	Plumber General	18.3.2020	20	11	11	0	9	29.7.2020
SDIS-DDUGKY	1297	ULCCS	Navriti	Plumber CON 705	8.8.2019	30	22	3	0	8	31.7.2020
ASDM-PLSTP	56570	Valeur	V.Saas	Plumber General	5.2.2020	30	30	29	1	0	11.8.2020
ASDM-PLSTP	56572	Valeur	V.Saas	Plumber General	6.2.2020	30	30	29	1	0	11.8.2020
CSR-STT	71102	Don Bosco	V.Saas	Plumber General	10.2.2020	24	24	19	5	0	13.8.2020
APSSDC	21128	NAC	SM	Plumber General	12.11.2019	25	24	15	9	1	19.8.2020
JSDM	40329	SGRS	SM	Plumber General	4.1.2020	30	29	27	2	1	26.8.2020
JSDM	75708	SGRS	SM	Plumber General	22.2.2020	27	27	24	3	0	26.8.2020
SDIS-NULM	3994	Ultimate Skill center Sujalpur	V.Saas	Plumber CON 715	19.10.2019	25	10	0	10	15	23.9.2020
SDIS-NULM	3995	Ultimate Skill center Sujalpur	V.Saas	Plumber CON 715	19.10.2019	25	4	0	4	21	23.9.2020
SDIS-OSDA	1088	Quivan	CoCubes	Asst. Plumber CON 705	30.4.2019	24	17	16	1	7	23.9.2020
SDIS-DDUGKY	1296	ULCCS	Navriti	Plumber CON 705	4.9.2019	30	25	12	13	5	23.9.2020
CSR-STT	32535	Quivan	CoCubes	Plumber General	11.1.2020	19	19	15	4	0	12.10.2020
DDUGKY	38228	ASMACS	CoCubes	Plumber General Helper	16.9.2020	35	8	5	3	27	24.10.2020
DDUGKY	38706	ASMACS	CoCubes	Plumber General Helper	17.9.2020	35	17	12	5	18	26.10.2020
SDIS-DDUGKY	37996	KLS Pvt Ltd	Mettl	Plumber General-2	8.2.2020	30	29	23	6	1	30.10.2020
CSR-STT	202907	Upasana	Khwaspuria	Plumber General	2.12.2020	20	20	19	1	0	17.12.2020
CSR-STT	196462	Upasana	Khwaspuria	Plumber General	1.12.2020	29	29	27	2	0	17.12.2020
CSR-STT	202498	Upasana	Khwaspuria	Plumber General	1.12.2020	25	25	23	2	0	17.12.2020
CSR-STT	200102	Upasana	Khwaspuria	Plumber General	12.11.2020	25	25	24	1	0	17.12.2020
DDUGKY	419114	Pipal Tree	VET	Plumber General Assisstant	6.3.2019	35	33	33	0	2	18.12.2020
DDUGKY	421719	Pipal Tree	VET	Plumber General Assisstant	28.2.2019	35	24	24	0	11	18.12.2020
DDUGKY	429872	Pipal Tree	VET	Plumber General Assisstant	2.5.2019	35	28	27	1	8	18.12.2020
DDUGKY	203438	KLS Pvt Ltd	Navriti	Plumber General-2	12.12.2020	30	28	26	2	2	28.12.2020
DDUGKY	215082	KLS Pvt Ltd	Navriti	Plumber General-2	27.12.2020	30	29	27	2	1	4.1.2021
CSR-STT	23917	ASMACS	SM	Plumber General	23.12.2019	30	30	27	3	0	4.1.2021
NULM	182897	Ascensive Educare	VET	Plumber General	24.12.2020	20	19	19	0	1	4.1.2021
NULM	182896	Ascensive Educare	VET	Plumber General	25.12.2020	25	23	23	0	2	4.1.2021
NULM	163202	Ascensive Educare	VET	Plumber General	23.12.2020	26	26	26	0	0	4.1.2021
NULM	91178	Seed Infotech	Mettl	Plumber General	28.10.2020	30	24	9	15	6	20.1.2021
NULM	91179	Seed Infotech	Mettl	Plumber General	28.10.2020	30	14	5	9	16	20.1.2021
NULM	91180	Seed Infotech	Mettl	Plumber General	29.10.2020	30	15	14	1	15	20.1.2021
NULM	91181	Seed Infotech	Mettl	Plumber General	29.10.2020	20	5	5	0	15	20.1.2021
DDUGKY	422752	NAC	Mettl	Plumber General	22.12.2019	23	23	23	0	0	3.2.2021
NULM	100754	Wockhardt Skill development Centre	Khwaspuria	Plumber General	9.2.2021	30	30	28	2	0	1.3.2021
NULM	100755	Wockhardt Skill development Centre	Khwaspuria	Plumber General	9.2.2021	30	30	28	2	0	1.3.2021
NULM	100756	Wockhardt Skill development Centre	Khwaspuria	Plumber General	10.2.2021	30	30	29	1	0	1.3.2021
NULM	116018	Wockhardt Skill development Centre	Khwaspuria	Plumber General	10.2.2021	30	30	29	1	0	1.3.2021
APSSDC	61874	NAC	VET	Plumber General	28.1.2021	28	22	16	6	6	1.3.2021
APSSDC	225839	NAC	VET	Plumber General	1.2.2021	20	20	19	1	0	1.3.2021
DDUGKY	229100	KLS Pvt Ltd	Navriti	Plumber General-2	7.2.2021	30	30	29	1	0	2.3.2021
NULM	21376	LCC Infotech	Khwaspuria	Plumber General	23.2.2019	30	30	28	2	0	8.3.2021
CSR-RPL (HSIL)	241052	VET	VET	Plumber General	17.10.2020	26	26	26	0	0	11.3.2021
CSR-RPL (HSIL)	241102	VET	VET	Plumber General	23.10.2020	30	30	30	0	0	11.3.2021
CSR-RPL (HSIL)	241301	VET	VET	Plumber General	10.11.2020	26	26	26	0	0	11.3.2021
CSR-RPL (HSIL)	241176	VET	VET	Plumber General	6.11.2020	17	17	17	0	0	11.3.2021
NULM	211193	Adept Edusys	SM	Plumber General	26.2.2021	25	24	24	0	1	11.3.2021
NULM	211194	Adept Edusys	SM	Plumber General	26.2.2021	25	23	23	0	2	11.3.2021
NULM	211195	Adept Edusys	SM	Plumber General	27.2.2021	25	25	25	0	0	11.3.2021
NULM	211196	Adept Edusys	SM	Plumber General	27.2.2021	25	25	25	0	0	11.3.2021
DDUGKY	221807	Clear Maze	V.Saas	Plumber CON 705	13.3.2021	24	24	18	6	0	22.3.2021
CSR-RPL (HSIL)	73532	Dhanush	Mettl	Plumber General	8.4.2019	36	36	33	3	0	22.3.2021
CSR-RPL (HSIL)	73133	Dhanush	Mettl	Plumber General	7.4.2019	28	28	28	0	0	22.3.2021
SJKVY (JSDM)	125473	SGRS	V.Saas	Plumber General	6.3.2021	22	15	15	0	7	3.4.2021
CSR-RPL (HSIL)	247249	Ideal	VET	Plumber General	23.3.2021	40	40	40	0	0	6.4.2021
CSR-RPL (HSIL)	248295	Ideal	VET	Plumber General	24.3.2021	40	39	39	0	1	6.4.2021
CSR-RPL (HSIL)	248795	Ideal	VET	Plumber General	24.3.2021	19	19	19	0	0	6.4.2021
CSR-RPL (HSIL)	251558	Ideal	V.Saas	Plumber General	27.3.2021	40	39	39	0	1	6.4.2021
CSR-RPL (HSIL)	251600	Ideal	V.Saas	Plumber General	27.3.2021	10	10	10	0	0	6.4.2021
CSR-RPL (HSIL)	254455	Ideal	V.Saas	Plumber General	1.4.2021	40	38	36	2	2	22.4.2021
CSR-RPL (HSIL)	254512	Ideal	V.Saas	Plumber General	1.4.2021	11	11	11	0	0	27.4.2021
CSR-RPL (Roca)	220742	Annai	CoCubes	Plumber General Assisstant	7.9.2020	20	20	17	3	0	26.4.2021
CSR-RPL (Roca)	220745	Annai	CoCubes	Plumber General Assisstant	8.9.2020	20	20	17	3	0	26.4.2021
CSR-RPL (Roca)	220758	Annai	CoCubes	Plumber General Assisstant	9.9.2020	20	20	14	6	0	26.4.2021
CSR-RPL (Roca)	220796	Annai	CoCubes	Plumber General Assisstant	11.9.2020	20	20	16	4	0	26.4.2021
CSR-RPL (Roca)	220863	Annai	CoCubes	Plumber General Assisstant	12.9.2020	20	20	14	6	0	26.4.2021
CSR-RPL (Roca)	220867	Annai	CoCubes	Plumber General Assisstant	14.9.2020	20	20	16	4	0	26.4.2021
CSR-RPL (Roca)	220870	Annai	CoCubes	Plumber General Assisstant	15.9.2020	20	20	16	4	0	26.4.2021
CSR-RPL (Roca)	220872	Annai	CoCubes	Plumber General Assisstant	21.9.2020	25	25	11	14	0	26.4.2021
CSR-RPL (Roca)	220873	Annai	CoCubes	Plumber General Assisstant	22.9.2020	25	25	13	12	0	26.4.2021
CSR-RPL (Roca)	220874	Annai	CoCubes	Plumber General Assisstant	23.9.2020	25	25	13	12	0	26.4.2021
CSR-RPL (Roca)	220877	Annai	CoCubes	Plumber General Assisstant	24.9.2020	25	25	11	14	0	26.4.2021
CSR-RPL (Roca)	220878	Annai	CoCubes	Plumber General Assisstant	25.9.2020	13	13	6	7	0	26.4.2021
CSR-RPL (Roca)	220709	Annai	CoCubes	Plumber General Assisstant	2.9.2020	20	20	17	3	0	27.4.2021
CSR-RPL (Roca)	220717	Annai	CoCubes	Plumber General Assisstant	3.9.2020	20	20	14	6	0	27.4.2021
CSR-RPL (Roca)	220726	Annai	CoCubes	Plumber General Assisstant	4.9.2020	20	18	14	4	2	27.4.2021
CSR-RPL (Roca)	220735	Annai	CoCubes	Plumber General Assisstant	5.9.2020	20	19	14	5	1	27.4.2021
CSR-RPL (Roca)	220153	Annai	CoCubes	Plumber General Assisstant	25.8.2020	20	20	18	2	0	6.5.2021
CSR-RPL (Roca)	220497	Annai	CoCubes	Plumber General Assisstant	28.8.2020	20	16	13	3	4	6.5.2021
CSR-RPL (Roca)	220528	Annai	CoCubes	Plumber General Assisstant	31.8.2020	20	18	9	9	2	6.5.2021
CSR-RPL (Roca)	220527	Annai	CoCubes	Plumber General Assisstant	1.9.2020	20	20	19	1	0	6.5.2021
CSR-RPL (HSIL)	262659	ISCTST	VET	Plumber General	26.3.2021	40	40	40	0	0	27.4.2021
CSR-RPL (HSIL)	262782	ISCTST	VET	Plumber General	26.3.2021	10	10	10	0	0	27.4.2021
CSR-RPL (HSIL)	262783	ISCTST	VET	Plumber General	27.3.2021	40	40	40	0	0	27.4.2021
CSR-RPL (HSIL)	262784	ISCTST	VET	Plumber General	27.3.2021	10	10	10	0	0	27.4.2021
NULM	246170	SWASTHYA SHIKSHA PAMVS SUNNI	VET	Plumber General	30.3.2021	31	31	31	0	0	28.4.2021
NULM	252188	SWASTHYA SHIKSHA PAMVS SUNNI	VET	Plumber General	31.3.2021	30	30	30	0	0	28.4.2021
CSR-RPL (HSIL)	261551	Labournet	Khwaspuria	Plumber General	31.3.2021	39	39	39	0	0	30.4.2021
CSR-RPL (HSIL)	261513	Labournet	Khwaspuria	Plumber General	29.3.2021	30	30	30	0	0	30.4.2021
CSR-RPL (HSIL)	261517	Labournet	Khwaspuria	Plumber General	29.3.2021	20	20	19	1	0	30.4.2021
CSR-RPL (HSIL)	261523	Labournet	Khwaspuria	Plumber General	30.3.2021	30	29	28	1	1	30.4.2021
CSR-RPL (HSIL)	261529	Labournet	Khwaspuria	Plumber General	31.3.2021	30	30	30	0	0	30.4.2021
CSR-RPL (HSIL)	261532	Labournet	Khwaspuria	Plumber General	30.3.2021	37	37	36	1	0	30.4.2021
CSR-RPL (HSIL)	261456	Labournet	Khwaspuria	Plumber General	28.3.2021	50	50	49	1	0	26.5.2021
CSR-RPL (HSIL)	262512	Annai	Khwaspuria	Plumber General	28.3.2021	40	40	39	1	0	31.5.2021
CSR-RPL (HSIL)	262552	Annai	Khwaspuria	Plumber General	28.3.2021	40	40	39	1	0	31.5.2021
CSR-RPL (HSIL)	262553	Annai	Khwaspuria	Plumber General	28.3.2021	40	40	39	1	0	31.5.2021
CSR-RPL (HSIL)	262554	Annai	Khwaspuria	Plumber General	28.3.2021	14	14	14	0	0	31.5.2021
JJM-Bihar	265089		SM	Plumber General	25.3.2021	25	25	23	2	0	2.6.2021
JJM-Bihar	265093		SM	Plumber General	25.3.2021	28	28	28	0	0	2.6.2021
JJM-Bihar	265082		SM	Plumber General	27.3.2021	20	20	19	1	0	3.6.2021
JJM-Bihar	265085		SM	Plumber General	26.3.2021	26	26	26	0	0	3.6.2021
CSR-Roca (Reassessment)	263669	Annai	VET	Plumber General Assisstant	28.4.2021	35	35	35	0	0	3.6.2021
CSR-Roca (Reassessment)	264262	Annai	VET	Plumber General Assisstant	3.5.2021	22	22	22	0	0	3.6.2021
CSR-Roca (Reassessment)	264265	Annai	VET	Plumber General Assisstant	3.5.2021	21	21	21	0	0	3.6.2021
CSR-Roca (Reassessment)	264452	Annai	VET	Plumber General Assisstant	13.5.2021	19	17	17	0	2	3.6.2021
JJM-Bihar	265090		VET	Plumber General	24.3.2021	26	26	26	0	0	5.6.2021
JJM-Bihar	265088		VET	Plumber General	24.3.2021	19	19	19	0	0	5.6.2021
JJM-Bihar	264777		VET	Plumber General	24.3.2021	30	30	30	0	0	5.6.2021
JJM-Bihar	265087		VET	Plumber General	24.3.2021	27	27	27	0	0	5.6.2021
JJM-Bihar	265083		Khwaspuria	Plumber General	26.3.2021	28	28	26	2	0	5.6.2021
JJM-Bihar	265095		Khwaspuria	Plumber General	24.3.2021	29	29	22	7	0	5.6.2021
DDUGKY	207419	Frostees	Khwaspuria	Plumber General	13.12.2020	25	20	19	1	5	7.6.2021
DDUGKY	71951	ASMACS	Mettl	Plumber General Helper	14.12.2020	35	25	1	24	10	7.6.2021
DDUGKY	189756	NAC	VET	Plumber General	8.2.2021	25	19	18	1	6	7.6.2021
PBSSD-RPL	91969	JIS	VET	Plumber General	6.3.2021	15	15	11	4	0	7.6.2021
CSR-Roca (Reassessment)	265802	Annai	VET	Plumber General Assisstant	27.4.2021	30	30	30	0	0	8.6.2021
JJM-Bihar	265092		V.Saas	Plumber General	24.3.2021	24	24	24	0	0	8.6.2021
JJM-Bihar	265094		V.Saas	Plumber General	25.3.2021	27	27	27	0	0	8.6.2021
JJM-Bihar	265091		V.Saas	Plumber General	24.3.2021	28	28	28	0	0	10.6.2021
